0.5,1,1.5
0.322,0.589,0.798
0.322,0.529,0.791
0.320,0.594,0.801

0.297,0.504,0.788
0.302,0.579,0.801
0.297,0.564,0.786
0.302,0.564,0.801
0.302,0.529,0.801
0.307,0.514,0.804
0.307,0.589,0.798
0.330,0.554,0.783
0.322,0.549,0.801
0.325,0.594,0.796
0.330,0.605,0.804
0.327,0.519,0.788
0.343,0.615,0.811
0.332,0.443,0.791
0.317,0.599,0.811
0.327,0.615,0.816
0.335,0.620,0.814
0.327,0.529,0.766
0.327,0.574,0.806
0.327,0.564,0.781
0.325,0.569,0.783
0.327,0.594,0.801
0.332,0.579,0.791
0.305,0.564,0.776
0.307,0.564,0.781
0.307,0.594,0.778
0.320,0.519,0.778
0.317,0.564,0.776
0.332,0.579,0.791
0.327,0.564,0.781
0.338,0.594,0.806
0.330,0.594,0.788
0.327,0.569,0.776
0.332,0.554,0.806
0.335,0.549,0.804
0.358,0.630,0.851
