W_content,Wet_U_weight,Dry_U_weight,Sub_U_weight
16.6,1.98,1.70,1.06
17.8,1.93,1.64,1.02
16.1,1.93,1.66,1.04
16.3,1.92,1.65,1.03
17.8,1.93,1.64,1.02
16.7,1.92,1.65,1.03
