W_content,Wet_U_weight,Dry_U_weight,Sub_U_weight
21.9,1.92,1.58,0.99
15.3,1.91,1.66,1.04
16.9,1.94,1.66,1.04
16.8,1.94,1.66,1.04
19.2,1.94,1.63,1.02
18.6,1.95,1.64,1.03
18.2,1.95,1.65,1.03
21.6,1.98,1.63,1.02
16.0,1.91,1.65,1.03
18.6,1.94,1.64,1.02
16.8,1.94,1.66,1.04
17.6,1.92,1.63,1.02
19.9,1.94,1.62,1.01
17.2,1.95,1.66,1.04
18.2,1.94,1.64,1.02
19.0,1.93,1.62,1.01
18.0,1.93,1.64,1.02
