W_content,Wet_U_weight,Dry_U_weight,Sub_U_weight
75.4,1.50,0.86,0.53
80.8,1.49,0.82,0.51
82.6,1.49,0.82,0.51
62.4,1.60,0.99,0.61
63.8,1.58,0.96,0.60
88.2,1.47,0.78,0.48
73.1,1.52,0.88,0.54
98.1,1.44,0.73,0.45
69.5,1.56,0.92,0.57
65.6,1.57,0.95,0.59
86.6,1.47,0.79,0.49
87.3,1.44,0.77,0.47
96.0,1.44,0.73,0.45
89.3,1.46,0.77,0.48
