W_content,Wet_U_weight,Dry_U_weight,Sub_U_weight
19.7,1.92,1.60,1.00
18.3,1.93,1.63,1.02
19.2,1.92,1.61,1.01
19.8,1.93,1.61,1.01
19.8,1.94,1.62,1.02
17.6,1.92,1.63,1.02
15.2,1.90,1.65,1.03
16.2,1.91,1.64,1.03
19.1,1.94,1.63,1.02
19.2,1.93,1.62,1.01
