W_content,Wet_U_weight,Dry_U_weight,Sub_U_weight
19.5,2.01,1.68,1.06
19.3,2.02,1.69,1.07
17.9,2.03,1.72,1.09
22.8,2.03,1.65,1.05
21.5,2.04,1.68,1.06
21.1,2.03,1.68,1.06
18.6,2.00,1.69,1.06
16.8,1.99,1.70,1.07
18.9,2.03,1.71,1.08
22.2,2.01,1.64,1.04
20.8,2.03,1.68,1.06
17.9,2.00,1.70,1.07
18.4,2.01,1.70,1.07
21.2,2.01,1.66,1.05
20.9,2.02,1.67,1.06
18.6,2.00,1.69,1.06
25.1,1.98,1.58,1.00
21.4,2.00,1.65,1.04
17.3,1.96,1.67,1.05
19.4,1.99,1.67,1.05
