W_content,Wet_U_weight,Dry_U_weight,Sub_U_weight
28.5,1.92,1.49,0.94
26.5,1.89,1.49,0.93
27.2,1.90,1.49,0.93
26.8,1.93,1.52,0.95
27.3,1.90,1.49,0.94
