Phi,Cohesion
20.7,0.338
20.45,0.348
21.333333333333332,0.411
21.333333333333332,0.401
21.383333333333333,0.414
21.45,0.431
21.45,0.426
22.066666666666666,0.441
21.333333333333332,0.421
20.7,0.378
21.833333333333332,0.436
21.333333333333332,0.401
21.2,0.408
21.266666666666666,0.417
21.45,0.423
20.95,0.408
19.816666666666666,0.29
21.2,0.408
20.7,0.393
20.816666666666666,0.411
