Phi,Cohesion
2.3,0.065
2.3,0.055
2.6,0.059
4.033333333333333,0.068
4.033333333333333,0.071
2.4833333333333334,0.058
2.6,0.059
2.0166666666666666,0.054
3.1666666666666665,0.102
3.466666666666667,0.111
2.3,0.06
2.3,0.058
2.3,0.055
2.3,0.058
