Phi,Cohesion
24.866666666666667,0.101
26.283333333333335,0.055
27.2,0.055
26.05,0.058
24.75,0.102
25.45,0.094
26.283333333333335,0.065
24.15,0.103
26.733333333333334,0.055
26.166666666666668,0.062
26.283333333333335,0.06
26.283333333333335,0.071
26.05,0.083
26.5,0.053
26.733333333333334,0.05
25.583333333333332,0.093
25.216666666666665,0.097
